,code,name,this_year_yield,past_week_yield,past_month_yield,past_quarter_yield,past_half_year_yield,past_year_yield
0,sh.603444,吉比特,-17.72%,-20.77%,-28.59%,-34.43%,-50.30%,10.30%
1,sz.300693,盛弘股份,-54.05%,-4.00%,-7.40%,-28.94%,-54.86%,-55.39%
2,sz.300033,同花顺,39.34%,-7.25%,-8.25%,-28.86%,-22.02%,65.25%
3,sh.688111,金山办公,7.59%,-6.75%,-18.86%,-25.85%,-26.60%,10.41%
4,sz.002555,三七互娱,3.89%,-6.42%,-12.22%,-25.01%,-42.98%,32.94%
5,sh.603801,志邦家居,-25.92%,-4.43%,-17.51%,-23.43%,-41.07%,-10.06%
6,sh.601336,新华保险,16.64%,-2.80%,-5.87%,-22.95%,-15.17%,45.48%
7,sh.601900,南方传媒,70.88%,-2.61%,-12.02%,-22.40%,-30.08%,89.59%
8,sz.002518,科士达,-56.87%,0.00%,-5.21%,-21.64%,-42.96%,-54.78%
9,sh.603868,飞科电器,-19.72%,-6.31%,-18.11%,-21.41%,-25.61%,-38.77%
10,sz.002508,老板电器,-15.25%,-6.70%,-15.99%,-18.96%,-11.11%,8.10%
11,sh.600600,青岛啤酒,-22.13%,1.01%,-9.51%,-18.21%,-26.72%,-13.60%
12,sh.603233,大参林,-47.02%,-0.69%,-8.77%,-17.75%,-32.69%,-37.69%
13,sz.300770,新媒股份,-11.13%,-1.36%,-8.94%,-16.98%,-36.74%,9.53%
14,sz.300760,迈瑞医疗,-17.52%,-1.33%,-5.72%,-16.86%,-18.48%,-21.23%
15,sz.000858,五粮液,-15.24%,4.71%,-3.57%,-16.63%,-10.59%,5.33%
16,sh.603100,川仪股份,-3.28%,-2.80%,-6.62%,-16.57%,-28.87%,-13.22%
17,sz.000999,华润三九,-12.44%,2.99%,-12.87%,-16.50%,-33.69%,-16.97%
18,sz.002304,洋河股份,-23.73%,3.28%,-8.77%,-16.05%,-17.37%,-10.49%
19,sz.000568,泸州老窖,-6.28%,4.17%,-7.36%,-15.88%,-6.84%,18.46%
20,sz.000513,丽珠集团,-0.88%,-8.42%,-11.87%,-15.76%,-10.86%,-6.55%
21,sh.600211,西藏药业,27.16%,1.29%,-4.91%,-14.88%,-27.21%,31.36%
22,sh.600436,片仔癀,-12.99%,0.55%,-10.68%,-14.84%,-9.74%,5.04%
23,sz.000915,华特达因,-28.07%,-1.06%,-3.26%,-14.73%,-15.45%,-34.14%
24,sh.600089,特变电工,-30.64%,-1.69%,-3.85%,-14.07%,-38.91%,-36.32%
25,sz.000651,格力电器,2.74%,-0.95%,-8.65%,-13.94%,-5.73%,11.23%
26,sz.002603,以岭药业,-28.58%,-0.05%,-6.54%,-12.31%,-33.98%,-16.40%
27,sh.601318,中国平安,-3.08%,-0.76%,-5.89%,-12.00%,-14.90%,21.32%
28,sh.600519,贵州茅台,-3.34%,2.59%,-7.92%,-11.85%,-4.44%,14.22%
29,sz.002847,盐津铺子,-27.98%,5.83%,2.16%,-11.42%,-39.70%,-17.52%
30,sz.000423,东阿阿胶,12.38%,-0.83%,-5.55%,-10.31%,-14.64%,25.15%
31,sh.600007,中国国贸,18.04%,3.48%,-3.05%,-7.66%,0.32%,41.88%
32,sz.002991,甘源食品,-0.66%,14.28%,7.75%,-7.23%,-18.42%,22.07%
33,sz.002027,分众传媒,-0.59%,-1.31%,-7.51%,-7.01%,-4.38%,35.40%
34,sh.600566,济川药业,-7.80%,1.34%,-1.45%,-7.00%,-22.14%,-13.52%
35,sh.601601,中国太保,19.19%,-2.96%,-2.73%,-6.83%,-16.34%,53.11%
36,sh.603639,海利尔,-33.92%,0.76%,-2.83%,-6.73%,-14.74%,-32.81%
37,sz.002032,苏泊尔,-4.05%,0.95%,-4.07%,-6.30%,-8.18%,10.41%
38,sh.601101,昊华能源,-7.57%,-0.52%,-3.37%,-6.21%,-10.45%,-11.96%
39,sh.603369,今世缘,14.43%,5.41%,-5.07%,-6.18%,-6.96%,43.94%
40,sh.688029,南微医学,-1.77%,5.92%,3.20%,-4.77%,-10.44%,-22.14%
41,sh.600348,华阳股份,-46.60%,-2.51%,-7.82%,-4.31%,-44.51%,-61.16%
42,sh.600085,同仁堂,9.80%,2.47%,-7.97%,-3.73%,-20.47%,-4.70%
43,sh.603195,公牛集团,-30.25%,-0.26%,-3.65%,1.22%,-34.28%,-20.81%
44,sh.600398,海澜之家,42.75%,0.40%,-1.69%,1.61%,9.22%,81.77%
45,sh.603198,迎驾贡酒,18.43%,4.50%,-2.40%,2.71%,16.47%,42.50%
46,sz.002737,葵花药业,-3.81%,2.17%,-0.12%,6.43%,-17.21%,4.35%
47,sh.601225,陕西煤业,-2.68%,-1.36%,-2.26%,9.98%,-7.20%,-11.36%
48,sh.601699,潞安环能,11.83%,0.53%,-1.20%,10.92%,-6.20%,32.26%
49,sh.600971,恒源煤电,28.18%,-1.17%,-1.17%,13.59%,-0.43%,17.32%
